instance,model,obj,time,status,lp_relaxation,mip_gap,bb_nodes,n_nodes,n_edges,n_terminals
i080_235.py,directed cut,11558.0,10906.85,9,3578.0,0.6904308703928015,564.0,80,160,16
i080_241.py,undirected cut,,10905.6,9,2649.0,,289.0,80,632,16
i080_241.py,undirected flow,4489.0,10889.95,9,2452.0,0.45377589663622186,1.0,80,632,16
i080_241.py,directed cut,62583.0,10888.61,9,2471.0,0.9605164341754151,1.0,80,632,16
i080_242.py,undirected cut,,30.26,9,2618.0,,431.0,80,632,16
i080_242.py,undirected flow,4217.0,30.57,9,2732.0,0.35214607540905857,47.0,80,632,16
i080_242.py,directed cut,14077.0,30.13,9,2658.0,0.8111813596647013,422.0,80,632,16
i080_243.py,undirected cut,,30.46,9,2647.0,,440.0,80,632,16
i080_243.py,undirected flow,4363.0,19568.38,9,2699.0,0.38138895255558103,1.0,80,632,16
i080_243.py,directed cut,17102.0,19568.1,9,2639.0000000000014,0.845690562507309,174.0,80,632,16
i080_244.py,undirected cut,,19567.75,9,2726.0,,214.0,80,632,16
i080_244.py,undirected flow,4240.0,19567.5,9,2695.0,0.3643867924528302,1.0,80,632,16
i080_244.py,directed cut,15364.0,31.64,9,2724.0,0.8227024212444676,187.0,80,632,16
i080_245.py,undirected cut,,31.53,9,2684.0,,217.0,80,632,16
i080_245.py,undirected flow,4330.0,31.9,9,2533.0,0.41501154734411083,1.0,80,632,16
i080_245.py,directed cut,12885.0,31.85,9,2553.0,0.8018626309662398,194.0,80,632,16
i080_301.py,undirected cut,,30.36,9,4569.000000000001,,341.0,80,120,20
i080_301.py,undirected flow,5522.0,30.48,9,4883.0,0.1157189424121695,792.0,80,120,20
i080_301.py,directed cut,9843.0,30.87,9,4761.0,0.5163060042669918,389.0,80,120,20
i080_302.py,undirected cut,,30.21,9,5012.0,,403.0,80,120,20
i080_302.py,undirected flow,5960.0,30.47,9,5446.0,0.08624161073825504,2055.0,80,120,20
i080_302.py,directed cut,9699.0,30.61,9,5083.0,0.4759253531291886,467.0,80,120,20
i080_303.py,undirected cut,,30.52,9,4793.0,,358.0,80,120,20
i080_303.py,undirected flow,5849.0,30.41,9,5309.0,0.09232347409813643,2180.0,80,120,20
i080_303.py,directed cut,9500.0,30.44,9,4799.0,0.4948421052631579,574.0,80,120,20
i080_304.py,undirected cut,,30.65,9,4256.0,,554.0,80,120,20
i080_304.py,undirected flow,5586.0,30.7,9,5255.0,0.05925528105979234,3617.0,80,120,20
i080_304.py,directed cut,11060.0,30.42,9,4647.0,0.5798372513562386,567.0,80,120,20
i080_305.py,undirected cut,,30.62,9,4849.0,,669.0,80,120,20
i080_305.py,undirected flow,5932.0,30.37,9,5549.0,0.06456507080242752,3352.0,80,120,20
i080_305.py,directed cut,10606.0,30.3,9,4954.0,0.5329059023194418,702.0,80,120,20
i080_311.py,undirected cut,,30.12,9,3444.0,,430.0,80,350,20
i080_311.py,undirected flow,5631.0,30.75,9,3663.0,0.34949387320191794,143.0,80,350,20
i080_311.py,directed cut,12128.0,30.34,9,3646.0,0.6993733509234829,372.0,80,350,20
i080_312.py,undirected cut,,30.18,9,3458.0,,411.0,80,350,20
i080_312.py,undirected flow,5412.0,30.56,9,3676.0,0.32076866223207684,118.0,80,350,20
i080_312.py,directed cut,12764.0,30.46,9,3535.0,0.7230492008774678,435.0,80,350,20
i080_313.py,undirected cut,,30.39,9,3431.0,,477.0,80,350,20
i080_313.py,undirected flow,5484.0,30.77,9,3613.0,0.3411743253099927,142.0,80,350,20
i080_313.py,directed cut,15509.0,30.6,9,3421.0,0.7794184022180669,452.0,80,350,20
i080_314.py,undirected cut,,30.28,9,3616.0,,460.0,80,350,20
i080_314.py,undirected flow,4928.0,30.67,9,3720.0,0.24512987012987014,283.0,80,350,20
i080_314.py,directed cut,13863.0,30.35,9,3575.0,0.7421193103945755,436.0,80,350,20
i080_315.py,undirected cut,,30.34,9,3540.0,,449.0,80,350,20
i080_315.py,undirected flow,5120.0,30.8,9,3563.0,0.3041015625,285.0,80,350,20
i080_315.py,directed cut,18097.0,30.8,9,3406.0,0.8117920097253688,492.0,80,350,20
i080_321.py,undirected cut,,30.62,9,2833.0,,127.0,80,3160,20
i080_321.py,undirected flow,5545.0,34.22,9,2922.0,0.47303877366997293,1.0,80,3160,20
i080_321.py,directed cut,144390.0,30.6,9,2865.0,0.980157905672138,128.0,80,3160,20
i080_322.py,undirected cut,,31.65,9,2832.0,,146.0,80,3160,20
i080_322.py,undirected flow,5507.0,34.05,9,2910.0,0.47158162338841475,1.0,80,3160,20
i080_322.py,directed cut,142657.0,31.32,9,2892.0,0.9797275983653098,128.0,80,3160,20
i080_323.py,undirected cut,,31.08,9,2856.0,,135.0,80,3160,20
i080_323.py,undirected flow,5525.0,35.34,9,2916.0,0.4722171945701357,1.0,80,3160,20
i080_323.py,directed cut,144756.0,30.79,9,2887.0,0.980056094393324,127.0,80,3160,20
i080_324.py,undirected cut,,30.82,9,2830.0,,145.0,80,3160,20
i080_324.py,undirected flow,5524.0,36.27,9,2916.0,0.4721216509775525,1.0,80,3160,20
i080_324.py,directed cut,145886.0,31.2,9,2873.0,0.9803065407235787,143.0,80,3160,20
i080_325.py,undirected cut,,31.51,9,2836.0,,143.0,80,3160,20
i080_325.py,undirected flow,5688.0,34.06,9,2928.0,0.48523206751054854,1.0,80,3160,20
i080_325.py,directed cut,91634.0,30.92,9,2876.0,0.968614269812515,105.0,80,3160,20
i080_331.py,undirected cut,,30.53,9,4225.0,,537.0,80,160,20
i080_331.py,undirected flow,5475.0,30.49,9,4491.0,0.17972602739726026,1622.0,80,160,20
i080_331.py,directed cut,10459.0,30.18,9,4233.0,0.5952767951046946,680.0,80,160,20
i080_332.py,undirected cut,,30.21,9,4255.0,,595.0,80,160,20
i080_332.py,undirected flow,5362.0,30.42,9,4607.0,0.14080566952629617,1406.0,80,160,20
i080_332.py,directed cut,10594.0,30.37,9,4438.0,0.5810836322446667,601.0,80,160,20
i080_333.py,undirected cut,,30.2,9,4350.0,,649.0,80,160,20
i080_333.py,undirected flow,5557.0,30.43,9,4705.0,0.15332013676444126,1636.0,80,160,20
i080_333.py,directed cut,10778.0,30.39,9,4412.0,0.5906476155130822,601.0,80,160,20
i080_334.py,undirected cut,,30.14,9,4070.0,,578.0,80,160,20
i080_334.py,undirected flow,5478.0,30.35,9,4225.0,0.22873311427528295,1550.0,80,160,20
i080_334.py,directed cut,11585.0,30.13,9,4137.0,0.6429003021148036,678.0,80,160,20
i080_335.py,undirected cut,,30.07,9,3873.0,,653.0,80,160,20
i080_335.py,undirected flow,5117.0,30.34,9,4348.0,0.15028336916161814,1583.0,80,160,20
i080_335.py,directed cut,10347.0,30.19,9,4027.0,0.6108050642698367,668.0,80,160,20
i080_341.py,undirected cut,,30.57,9,3035.0,,372.0,80,632,20
i080_341.py,undirected flow,5608.0,30.92,9,3256.0,0.4194008559201141,2.0,80,632,20
i080_341.py,directed cut,58147.0,30.68,9,3113.0,0.9464632741156036,354.0,80,632,20
i080_342.py,undirected cut,,30.12,9,2920.0,,365.0,80,632,20
i080_342.py,undirected flow,5622.0,31.2,9,3176.0,0.4350764852365706,23.0,80,632,20
i080_342.py,directed cut,25489.0,30.2,9,2931.0,0.8850092196633842,346.0,80,632,20
i080_343.py,undirected cut,,30.3,9,3033.0,,380.0,80,632,20
i080_343.py,undirected flow,5509.0,31.25,9,3345.0,0.39281176257033945,15.0,80,632,20
i080_343.py,directed cut,30023.0,30.72,9,3027.0,0.8991772974053226,375.0,80,632,20
i080_344.py,undirected cut,,30.39,9,3248.0,,366.0,80,632,20
i080_344.py,undirected flow,5590.0,31.18,9,3276.0,0.413953488372093,1.0,80,632,20
i080_344.py,directed cut,11878.0,30.29,9,3245.0,0.7268058595723186,326.0,80,632,20
i080_345.py,undirected cut,,502.47,9,3250.0,,315.0,80,632,20
i080_345.py,undirected flow,5505.0,502.21,9,3142.0,0.4292461398728429,6.0,80,632,20
i080_345.py,directed cut,15029.0,501.6,9,3021.0,0.7989886219974716,269.0,80,632,20
